replicon,replicon type,GC%,hitcount,best identity%
CP188859.1,chromosome,46.82943059502162,0,n/a
CP026531.1,chromosome,47.55853966949093,9,80.591
CP026532.1,chromosome,46.41539601303286,0,n/a
CP026647.1,chromosome,47.70105030784885,7,80.560
CP026648.1,chromosome,47.018597863142894,0,n/a
CP188832.1,chromosome,47.699617292107106,9,80.560
CP188833.1,chromosome,46.82934966959842,0,n/a
CM126285.1,chromosome,47.623212534998544,7,78.730
JBQSRC010000002.1,plasmid,44.81785967399008,0,n/a
JBQSRC010000004.1,plasmid,45.23957685127567,0,n/a
JBQSRC010000003.1,plasmid,50.13413256031052,0,n/a
NZ_AP023377.1,chromosome,47.90082618874714,9,80.562
NZ_AP023378.1,chromosome,47.20188372484162,0,n/a
CP046839.1,chromosome,47.90334282228548,10,80.591
CP046838.1,chromosome,47.21739000997316,0,n/a
CM126326.1,chromosome,47.62450032943371,7,78.730
JBQSSQ010000004.1,plasmid,44.80758869069563,0,n/a
JBQSSQ010000002.1,plasmid,45.262829835861204,0,n/a
JBQSSQ010000003.1,plasmid,50.12917358375655,0,n/a
NZ_CP171678.1,chromosome,47.71833096291343,10,80.560
NZ_CP171679.1,chromosome,46.77466615298631,0,n/a
NZ_CP047299.1,chromosome,47.69675958738503,8,80.560
NZ_CP047300.1,chromosome,46.910783498221335,0,n/a
NZ_CP171656.1,chromosome,47.71081661286702,8,80.560
NZ_CP171657.1,chromosome,47.06688170184988,0,n/a
NZ_CP178092.1,chromosome,47.663200535744124,7,78.730
NZ_CP178093.1,plasmid,44.80770323240357,0,n/a
NZ_CP178095.1,plasmid,50.16635310426775,0,n/a
NZ_CP178094.1,plasmid,45.27575442247659,0,n/a
CP065918.1,chromosome,47.56905777669831,6,78.807
CP172325.1,chromosome,47.80304400230979,8,80.560
CP172326.1,chromosome,46.9200247649339,0,n/a
CP177894.1,chromosome,47.645052490502216,7,78.730
CP177895.1,plasmid,44.6348863669516,0,n/a
CP177896.1,plasmid,50.14061240142382,0,n/a
CP177897.1,plasmid,45.271043595879725,0,n/a
CP160420.1,chromosome,47.6874261179301,8,80.560
CP160421.1,chromosome,47.033290265310306,0,n/a
NZ_AP024547.1,chromosome,47.625854981010654,8,80.560
NZ_AP024548.1,chromosome,46.91035978047293,0,n/a
CP189271.1,chromosome,47.701880704655835,9,80.560
CP189272.1,chromosome,46.93503671512064,0,n/a
NZ_CP134060.1,chromosome,47.65958999915167,9,80.560
NZ_CP134061.1,chromosome,47.018743737707794,0,n/a
NZ_CM126274.1,chromosome,47.62343873623395,7,78.730
NZ_JBQSQP010000003.1,plasmid,44.819376142628364,0,n/a
NZ_JBQSQP010000002.1,plasmid,45.27950310559007,0,n/a
NZ_JBQSQP010000004.1,plasmid,50.13306883243148,0,n/a
AP024555.1,chromosome,47.667573788315146,8,80.560
AP024556.1,chromosome,46.91000311688116,0,n/a
CP188884.1,chromosome,47.69990209010652,9,80.560
CP188885.1,chromosome,46.82929451420638,0,n/a
CP188961.1,chromosome,47.700019320563456,9,80.560
CP188962.1,chromosome,46.833251486016174,0,n/a
NZ_CP053796.1,chromosome,47.84038515303294,10,80.758
NZ_CP053797.1,chromosome,46.406533559847354,0,n/a
NZ_CP178033.1,chromosome,47.64696888734126,7,78.807
NZ_CP178035.1,plasmid,44.8114804989558,0,n/a
NZ_CP178034.1,plasmid,50.2960177238285,0,n/a
NZ_CP178036.1,plasmid,45.270059319388075,0,n/a
LT897797.1,chromosome,47.789548933608536,10,80.574
LT897798.1,chromosome,46.84777896023019,0,n/a
CP001608.1,chromosome,47.588702981401624,7,78.830
CP001609.1,plasmid,44.630353600186716,0,n/a
CP001610.1,plasmid,50.15309308462421,0,n/a
CP001611.1,plasmid,45.29166666666667,0,n/a
NZ_CP072847.1,chromosome,47.64932860930309,9,80.560
NZ_CP072848.1,chromosome,46.9209274167555,0,n/a
NZ_CM126334.1,chromosome,47.62487794947163,7,78.730
NZ_JBQSSX010000002.1,plasmid,44.81737133785948,0,n/a
NZ_JBQSSX010000004.1,plasmid,45.264580517725335,0,n/a
NZ_JBQSSX010000003.1,plasmid,50.124698073562044,0,n/a
CP173026.1,chromosome,48.01812325374179,9,80.635
CP173027.1,chromosome,46.828622767365786,0,n/a
NZ_CP028827.1,chromosome,47.704724981045224,10,80.560
NZ_CP028828.1,chromosome,46.914618713811315,0,n/a
CM126338.1,chromosome,47.624175448087044,7,78.730
JBQSTA010000002.1,plasmid,44.81390140884996,0,n/a
JBQSTA010000004.1,plasmid,45.28223718280683,0,n/a
JBQSTA010000003.1,plasmid,50.14733905663713,0,n/a
NZ_CP006947.1,chromosome,47.6770918273404,7,80.560
NZ_CP006948.1,chromosome,47.01983467918981,0,n/a
CP177870.1,chromosome,47.58713834881822,7,78.730
CP177871.1,plasmid,44.63540602842053,0,n/a
CP177872.1,plasmid,50.16585964808048,0,n/a
CP177873.1,plasmid,45.27575442247659,0,n/a
CP189089.1,chromosome,47.47577800981675,9,80.560
NZ_AP024555.1,chromosome,47.667573788315146,8,80.560
NZ_AP024556.1,chromosome,46.91000311688116,0,n/a
CP046837.1,chromosome,47.65164854031905,10,80.591
CP046836.1,chromosome,46.95006909198561,0,n/a
CP053796.1,chromosome,47.84038515303294,10,80.758
CP053797.1,chromosome,46.406533559847354,0,n/a
CP160416.1,chromosome,47.673943737823684,8,80.560
CP160417.1,chromosome,47.0878039512977,0,n/a
CM126274.1,chromosome,47.62343873623395,7,78.730
JBQSQP010000003.1,plasmid,44.819376142628364,0,n/a
JBQSQP010000002.1,plasmid,45.27950310559007,0,n/a
JBQSQP010000004.1,plasmid,50.13306883243148,0,n/a
CP188965.1,chromosome,47.69992425433674,9,80.560
CP188966.1,chromosome,46.833437151007836,0,n/a
CP189075.1,chromosome,47.47543694197819,9,80.560
CP134060.1,chromosome,47.65958999915167,9,80.560
CP134061.1,chromosome,47.018743737707794,0,n/a
AP024547.1,chromosome,47.625854981010654,8,80.560
AP024548.1,chromosome,46.91035978047293,0,n/a
CP189256.1,chromosome,47.68531158533184,9,80.560
CP189257.1,chromosome,46.83308577794281,0,n/a
NZ_CP009785.1,chromosome,47.63234614785779,6,78.807
NZ_CP009783.1,plasmid,44.83607140317189,0,n/a
NZ_CP009784.1,plasmid,50.199647135295756,0,n/a
NZ_CP009782.1,plasmid,44.04907975460123,0,n/a
NZ_CP177894.1,chromosome,47.645052490502216,7,78.730
NZ_CP177895.1,plasmid,44.6348863669516,0,n/a
NZ_CP177896.1,plasmid,50.14061240142382,0,n/a
NZ_CP177897.1,plasmid,45.271043595879725,0,n/a
CP189033.1,chromosome,47.70091815887281,9,80.560
CP189034.1,chromosome,46.97800537780598,0,n/a
LT992488.1,chromosome,47.684574282383714,9,80.560
LT992489.1,chromosome,46.95017317043226,0,n/a
NZ_CM126338.1,chromosome,47.624175448087044,7,78.730
NZ_JBQSTA010000002.1,plasmid,44.81390140884996,0,n/a
NZ_JBQSTA010000004.1,plasmid,45.28223718280683,0,n/a
NZ_JBQSTA010000003.1,plasmid,50.14733905663713,0,n/a
NZ_CP177870.1,chromosome,47.58713834881822,7,78.730
NZ_CP177871.1,plasmid,44.63540602842053,0,n/a
NZ_CP177872.1,plasmid,50.16585964808048,0,n/a
NZ_CP177873.1,plasmid,45.27575442247659,0,n/a
CP006751.1,chromosome,47.63641098813541,7,78.753
CP006750.1,plasmid,44.88486221215553,0,n/a
CP006749.1,plasmid,51.9866891824774,0,n/a
CP178033.1,chromosome,47.64696888734126,7,78.807
CP178035.1,plasmid,44.8114804989558,0,n/a
CP178034.1,plasmid,50.2960177238285,0,n/a
CP178036.1,plasmid,45.270059319388075,0,n/a
CM126334.1,chromosome,47.62487794947163,7,78.730
JBQSSX010000002.1,plasmid,44.81737133785948,0,n/a
JBQSSX010000004.1,plasmid,45.264580517725335,0,n/a
JBQSSX010000003.1,plasmid,50.124698073562044,0,n/a
CP072847.1,chromosome,47.64932860930309,9,80.560
CP072848.1,chromosome,46.9209274167555,0,n/a
CP046744.1,chromosome,47.84288306974332,10,80.560
CP046743.1,chromosome,46.81612781505103,0,n/a
LT992490.1,chromosome,47.52127222038476,9,80.635
LT992491.1,chromosome,46.445158854721306,0,n/a
NZ_CM126298.1,chromosome,47.623928506211634,7,78.730
NZ_JBQSRO010000002.1,plasmid,44.8157074000567,0,n/a
NZ_JBQSRO010000004.1,plasmid,45.244029075804775,0,n/a
NZ_JBQSRO010000003.1,plasmid,50.12322405176391,0,n/a
NZ_CP147726.1,chromosome,47.862155799891354,9,80.562
NZ_CP147727.1,chromosome,47.04655776004217,0,n/a
NZ_CP080465.1,chromosome,47.69344320340981,8,80.560
NZ_CP080466.1,chromosome,47.01583237453208,0,n/a
NZ_CP009723.1,chromosome,47.62139099866295,6,78.807
NZ_CP009721.1,plasmid,44.837493777114,0,n/a
NZ_CP009722.1,plasmid,50.230745244777054,0,n/a
NZ_CP009724.1,plasmid,44.89534387014096,0,n/a
CP189261.1,chromosome,47.47413156575169,9,80.560
CP189170.1,chromosome,47.68528999032506,9,80.560
CP189171.1,chromosome,46.83309753769945,0,n/a
CP177886.1,chromosome,47.592445144947234,7,78.730
CP177889.1,plasmid,44.8224012709941,0,n/a
CP177888.1,plasmid,50.16585964808048,0,n/a
CP177887.1,plasmid,45.271043595879725,0,n/a
NZ_CP151615.1,chromosome,47.63605123022438,7,78.830
NZ_CP151617.1,plasmid,44.64149839040093,0,n/a
NZ_CP151616.1,plasmid,50.16202717299745,0,n/a
NZ_CP151618.1,plasmid,45.270059319388075,0,n/a
CP024867.1,chromosome,47.65110064598339,9,80.560
CP024868.1,chromosome,46.9212896137493,0,n/a
NZ_CP171686.1,chromosome,47.71989759731431,10,80.560
NZ_CP171687.1,chromosome,46.77467489012281,0,n/a
CP189083.1,chromosome,47.69910385169581,9,80.560
CP189084.1,chromosome,46.833219768773894,0,n/a
NZ_AP024549.1,chromosome,47.67060456282534,9,80.560
NZ_AP024550.1,chromosome,46.90380777580757,0,n/a
NC_003143.1,contig/unkown,47.63611023248458,6,78.730
NC_003131.1,plasmid,44.83607140317189,0,n/a
NC_003134.1,plasmid,50.22762706579358,0,n/a
NC_003132.1,plasmid,45.26633374947981,0,n/a
CM126281.1,chromosome,47.62359702140419,7,78.730
JBQSQX010000004.1,plasmid,44.81756584356307,0,n/a
JBQSQX010000003.1,plasmid,45.25812818115716,0,n/a
JBQSQX010000002.1,plasmid,50.130150778449,0,n/a
CP196623.1,chromosome,47.79103194993118,9,80.560
CP196624.1,chromosome,46.89570672150877,0,n/a
CP188880.1,chromosome,47.699849293707274,9,80.560
CP188881.1,chromosome,46.82929451420638,0,n/a
NZ_CP006762.1,chromosome,47.639941232886,7,78.753
NZ_CP006761.1,plasmid,44.890454818729644,0,n/a
NZ_CP006760.1,plasmid,52.00157644671829,0,n/a
CP189263.1,chromosome,47.47428151436246,9,80.560
NZ_CP177886.1,chromosome,47.592445144947234,7,78.730
NZ_CP177889.1,plasmid,44.8224012709941,0,n/a
NZ_CP177888.1,plasmid,50.16585964808048,0,n/a
NZ_CP177887.1,plasmid,45.271043595879725,0,n/a
CP171686.1,chromosome,47.71989759731431,10,80.560
CP171687.1,chromosome,46.77467489012281,0,n/a
CP080465.1,chromosome,47.69344320340981,8,80.560
CP080466.1,chromosome,47.01583237453208,0,n/a
CP045163.1,chromosome,47.59414205037119,7,78.730
CP045164.1,plasmid,50.163879234372054,0,n/a
CP045165.1,plasmid,45.27575442247659,0,n/a
CP189168.1,chromosome,47.69820988565153,9,80.560
CP189169.1,chromosome,46.83329496253277,0,n/a
CM126298.1,chromosome,47.623928506211634,7,78.730
JBQSRO010000002.1,plasmid,44.8157074000567,0,n/a
JBQSRO010000004.1,plasmid,45.244029075804775,0,n/a
JBQSRO010000003.1,plasmid,50.12322405176391,0,n/a
NZ_CP006783.1,chromosome,47.62864416192646,7,78.830
NZ_CP006780.1,plasmid,44.88968429294483,0,n/a
NZ_CP006779.1,plasmid,52.00157644671829,0,n/a
NZ_CP158974.1,chromosome,47.65587276827033,8,80.560
NZ_CP158975.1,chromosome,47.04033846601927,0,n/a
NZ_CP158976.1,plasmid,51.37004484304932,0,n/a
CP012666.1,chromosome,46.95371884103741,0,n/a
CP012667.1,chromosome,47.68222509562279,8,80.560
CP012668.1,plasmid,51.53068022829732,0,n/a
CP009935.1,chromosome,47.59886409527241,7,78.730
CP009937.1,plasmid,44.64144302683678,0,n/a
CP009934.1,plasmid,50.930237436026516,0,n/a
CP009936.1,plasmid,45.05494505494506,0,n/a
NZ_CP010247.1,chromosome,47.64014528024641,7,78.807
NZ_CP010246.1,plasmid,44.889199580566235,0,n/a
NZ_CP010248.1,plasmid,52.07649993790589,0,n/a
NZ_CP196623.1,chromosome,47.79103194993118,9,80.560
NZ_CP196624.1,chromosome,46.89570672150877,0,n/a
NZ_CP046747.1,chromosome,47.63273263253204,10,80.591
NZ_CP046748.1,chromosome,47.042998868426075,0,n/a
CP189057.1,chromosome,47.700807262779286,9,80.560
CP189058.1,chromosome,46.977961024161395,0,n/a
NC_002695.2,chromosome,50.53704794221342,7,78.699
NC_002127.1,plasmid,43.40592861464005,0,n/a
NC_002128.1,plasmid,47.59978861315128,0,n/a
NZ_CM126281.1,chromosome,47.62359702140419,7,78.730
NZ_JBQSQX010000004.1,plasmid,44.81756584356307,0,n/a
NZ_JBQSQX010000003.1,plasmid,45.25812818115716,0,n/a
NZ_JBQSQX010000002.1,plasmid,50.130150778449,0,n/a
AP024549.1,chromosome,47.67060456282534,9,80.560
AP024550.1,chromosome,46.90380777580757,0,n/a
CP025936.1,chromosome,47.65095061775892,9,80.560
CP025937.1,chromosome,46.92102084230608,0,n/a
CM129953.1,chromosome,47.68633053248327,10,80.560
CM129954.1,chromosome,47.1178021154287,0,n/a
JBRUSW010000003.1,plasmid,40.000449822320185,0,n/a
JBRUSW010000004.1,plasmid,42.232115443659815,0,n/a
JBRUSW010000005.1,plasmid,38.98781630740394,0,n/a
CP178079.1,chromosome,47.6249741388228,7,78.730
CP178081.1,plasmid,44.64539162752586,0,n/a
CP178083.1,plasmid,50.1693337558425,0,n/a
CP178082.1,plasmid,45.17066867664477,0,n/a
CP178080.1,plasmid,50.24124742571344,0,n/a
CP053816.1,chromosome,47.80718395624818,10,80.560
CP053817.1,chromosome,46.54556613287864,0,n/a
CP053818.1,plasmid,42.17161857500913,0,n/a
CP053819.1,plasmid,46.34605616877888,0,n/a
CP189103.1,chromosome,47.70153499224277,9,80.560
CP189104.1,chromosome,46.83299062861174,0,n/a
NZ_CP046840.1,chromosome,47.72970810741367,9,80.560
NZ_CP046841.1,chromosome,46.95068561987498,0,n/a
NZ_CP178387.1,chromosome,47.943441072622974,10,80.516
NZ_CP178388.1,chromosome,47.22659410630122,0,n/a
NZ_CM126327.1,chromosome,47.62438769833759,7,78.730
NZ_JBQSSR010000002.1,plasmid,44.83046766563748,0,n/a
NZ_JBQSSR010000004.1,plasmid,45.28790389395195,0,n/a
NZ_JBQSSR010000003.1,plasmid,50.13413783276501,0,n/a
NZ_CP177820.1,chromosome,47.664020915574525,7,78.730
NZ_CP177823.1,plasmid,44.81054365733114,0,n/a
NZ_CP177821.1,plasmid,50.16635310426775,0,n/a
NZ_CP177822.1,plasmid,45.27575442247659,0,n/a
CM165264.1,chromosome,47.687229900573605,9,80.560
CM165265.1,chromosome,47.01851740498627,0,n/a
NZ_CM129941.1,chromosome,47.855826336268684,10,80.560
NZ_CM129942.1,chromosome,47.113146000823406,0,n/a
NZ_JBRUTC010000003.1,plasmid,40.95881595881596,0,n/a
NZ_JBRUTC010000004.1,plasmid,40.33771106941838,0,n/a
NZ_JBRUTC010000005.1,plasmid,43.770346256288846,0,n/a
NZ_JBRUTC010000006.1,plasmid,46.280276816608996,0,n/a
CP189019.1,chromosome,47.70003641810601,9,80.560
CP189020.1,chromosome,46.83326556491936,0,n/a
NZ_CP177934.1,chromosome,47.58858738305381,7,78.730
NZ_CP177935.1,plasmid,44.63845491809257,0,n/a
NZ_CP177936.1,plasmid,50.11620185922975,0,n/a
NZ_CP177937.1,plasmid,45.27575442247659,0,n/a
CP189148.1,chromosome,47.69273917006508,9,80.560
CP189149.1,chromosome,46.83310929736875,0,n/a
CP188923.1,chromosome,47.69591613279583,9,80.560
CP188924.1,chromosome,46.846165876036075,0,n/a
CP188989.1,chromosome,47.69749586539211,9,80.560
CP188990.1,chromosome,46.83341363403859,0,n/a
CP189156.1,chromosome,47.70210516606011,9,80.560
CP189157.1,chromosome,46.83338779511478,0,n/a
CP006748.1,chromosome,47.642534986984735,7,78.807
CP006747.1,plasmid,44.889056667086116,0,n/a
CP006746.1,plasmid,52.003036119605596,0,n/a
CM126292.1,chromosome,47.62430148756185,7,78.730
JBQSRI010000002.1,plasmid,44.81179556248671,0,n/a
JBQSRI010000004.1,plasmid,45.2513966480447,0,n/a
JBQSRI010000003.1,plasmid,50.13653687477899,0,n/a
CP189248.1,chromosome,47.70218919653573,9,80.560
CP189249.1,chromosome,46.83338779511478,0,n/a
CP189088.1,chromosome,47.47575138008093,9,80.560
CM126327.1,chromosome,47.62438769833759,7,78.730
JBQSSR010000002.1,plasmid,44.83046766563748,0,n/a
JBQSSR010000004.1,plasmid,45.28790389395195,0,n/a
JBQSSR010000003.1,plasmid,50.13413783276501,0,n/a
NZ_CM165264.1,chromosome,47.687229900573605,9,80.560
NZ_CM165265.1,chromosome,47.01851740498627,0,n/a
CP177820.1,chromosome,47.664020915574525,7,78.730
CP177823.1,plasmid,44.81054365733114,0,n/a
CP177821.1,plasmid,50.16635310426775,0,n/a
CP177822.1,plasmid,45.27575442247659,0,n/a
CM129941.1,chromosome,47.855826336268684,10,80.560
CM129942.1,chromosome,47.113146000823406,0,n/a
JBRUTC010000003.1,plasmid,40.95881595881596,0,n/a
JBRUTC010000004.1,plasmid,40.33771106941838,0,n/a
JBRUTC010000005.1,plasmid,43.770346256288846,0,n/a
JBRUTC010000006.1,plasmid,46.280276816608996,0,n/a
NZ_CP053816.1,chromosome,47.80718395624818,10,80.560
NZ_CP053817.1,chromosome,46.54556613287864,0,n/a
NZ_CP053818.1,plasmid,42.17161857500913,0,n/a
NZ_CP053819.1,plasmid,46.34605616877888,0,n/a
NZ_CM129953.1,chromosome,47.68633053248327,10,80.560
NZ_CM129954.1,chromosome,47.1178021154287,0,n/a
NZ_JBRUSW010000003.1,plasmid,40.000449822320185,0,n/a
NZ_JBRUSW010000004.1,plasmid,42.232115443659815,0,n/a
NZ_JBRUSW010000005.1,plasmid,38.98781630740394,0,n/a
NZ_CP178079.1,chromosome,47.6249741388228,7,78.730
NZ_CP178081.1,plasmid,44.64539162752586,0,n/a
NZ_CP178083.1,plasmid,50.1693337558425,0,n/a
NZ_CP178082.1,plasmid,45.17066867664477,0,n/a
NZ_CP178080.1,plasmid,50.24124742571344,0,n/a
CP188925.1,chromosome,47.69594875884003,9,80.560
CP188926.1,chromosome,46.846003187322204,0,n/a
CP137135.1,chromosome,47.76418133341936,10,80.560
CP137136.1,chromosome,46.91661919747495,0,n/a
NZ_CM126292.1,chromosome,47.62430148756185,7,78.730
NZ_JBQSRI010000002.1,plasmid,44.81179556248671,0,n/a
NZ_JBQSRI010000004.1,plasmid,45.2513966480447,0,n/a
NZ_JBQSRI010000003.1,plasmid,50.13653687477899,0,n/a
CP189138.1,chromosome,47.472962052138676,9,80.560
CP177934.1,chromosome,47.58858738305381,7,78.730
CP177935.1,plasmid,44.63845491809257,0,n/a
CP177936.1,plasmid,50.11620185922975,0,n/a
CP177937.1,plasmid,45.27575442247659,0,n/a
CP189358.1,chromosome,47.68535824935463,9,80.560
CP189359.1,chromosome,46.80096644196276,0,n/a
NC_014029.1,contig/unkown,47.67886232960133,6,78.753
NC_014017.1,plasmid,44.64165520470574,0,n/a
NC_014022.1,plasmid,50.2042418648078,0,n/a
NC_014027.1,plasmid,45.28046622957644,0,n/a
CP188868.1,chromosome,47.6999785545786,9,80.560
CP188869.1,chromosome,46.829387193728934,0,n/a
NZ_CP045154.1,chromosome,47.640294895911026,6,78.730
NZ_CP045156.1,plasmid,44.633427662864314,0,n/a
NZ_CP045155.1,plasmid,50.15410027597043,0,n/a
NZ_CP045157.1,plasmid,45.271043595879725,0,n/a
NZ_CM126278.1,chromosome,47.62382935729905,7,78.730
NZ_JBQSQT010000004.1,plasmid,44.81561268743445,0,n/a
NZ_JBQSQT010000003.1,plasmid,45.294972995429994,0,n/a
NZ_JBQSQT010000002.1,plasmid,50.13763812969444,0,n/a
NC_017154.1,contig/unkown,47.62601492871796,6,78.730
NC_017153.1,plasmid,44.64311843375962,0,n/a
NC_017155.1,plasmid,50.20318517968361,0,n/a
NC_017156.1,plasmid,45.28144834044324,0,n/a
CP189130.1,chromosome,47.47425611586489,9,80.560
NZ_AKGH01000001.1,chromosome,47.6770918273404,7,80.560
NZ_AKGH01000002.1,chromosome,47.01983467918981,0,n/a
NZ_CM126313.1,chromosome,47.62388628639662,7,78.730
NZ_JBQSSD010000002.1,plasmid,44.82397109867536,0,n/a
NZ_JBQSSD010000003.1,plasmid,45.265780730897006,0,n/a
NZ_JBQSSD010000004.1,plasmid,50.13560254696958,0,n/a
CP189368.1,chromosome,47.69806523810659,9,80.560
CP189369.1,chromosome,46.83287427578915,0,n/a
NZ_CM126301.1,chromosome,47.62301577575713,7,78.730
NZ_JBQSRR010000004.1,plasmid,44.80968858131488,0,n/a
NZ_JBQSRR010000002.1,plasmid,45.28223718280683,0,n/a
NZ_JBQSRR010000003.1,plasmid,50.13861853359287,0,n/a
NZ_CP013303.1,chromosome,47.713576023426,8,80.560
NZ_CP013304.1,chromosome,46.9519339638154,0,n/a
NC_017160.1,contig/unkown,47.63189267041054,6,78.730
NC_017157.1,plasmid,44.71973013708462,0,n/a
NC_017158.1,plasmid,50.23009807800429,0,n/a
NC_017159.1,plasmid,45.285179017485426,0,n/a
CP171688.1,chromosome,47.766445946346465,8,80.560
CP171689.1,chromosome,46.9198592800195,0,n/a
NZ_CP047295.1,chromosome,47.65161884754519,9,80.560
NZ_CP047296.1,chromosome,46.92120550771053,0,n/a
CM126342.1,chromosome,47.62459594086164,7,78.730
JBQSTC010000002.1,plasmid,44.81526639634786,0,n/a
JBQSTC010000003.1,plasmid,45.26359571591973,0,n/a
JBQSTC010000004.1,plasmid,50.13064063021826,0,n/a
NZ_CM165267.1,chromosome,47.66053083176525,9,80.560
NZ_CM165268.1,chromosome,47.018923892129614,0,n/a
NZ_JBWDFJ010000003.1,plasmid,52.19596446978836,0,n/a
CM126278.1,chromosome,47.62382935729905,7,78.730
JBQSQT010000004.1,plasmid,44.81561268743445,0,n/a
JBQSQT010000003.1,plasmid,45.294972995429994,0,n/a
JBQSQT010000002.1,plasmid,50.13763812969444,0,n/a
NZ_CP010023.1,chromosome,47.64839419575229,7,78.730
NZ_CP010022.1,plasmid,44.85599053713178,0,n/a
NZ_CP010021.1,plasmid,50.33647375504711,0,n/a
NZ_CP010020.1,plasmid,45.26337705600667,0,n/a
CP189224.1,chromosome,47.70205534902662,9,80.560
CP189225.1,chromosome,46.833219768773894,0,n/a
CP188983.1,chromosome,47.699922750488,9,80.560
CP188984.1,chromosome,46.82315851623001,0,n/a
